benchmark,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.instsIssued,system.l2cache.demandHits::total,system.l2cache.demandMisses::total,system.l2cache.overallHits::total,system.l2cache.overallMisses::total,system.l2cache.demandMissRate::total,system.l2cache.overallMissRate::total,system.l2cache.demandMissLatency::total,system.l2cache.overallMissLatency::total,system.l2cache.demandAvgMissLatency::total,system.l2cache.overallAvgMissLatency::total,system.l2cache.prefetcher.demandMshrMisses,system.l2cache.prefetcher.pfIssued,system.l2cache.prefetcher.pfUnused,system.l2cache.prefetcher.pfUseful,system.l2cache.prefetcher.accuracy,system.l2cache.prefetcher.coverage,system.l2cache.prefetcher.pfLate,system.l2cache.prefetcher.pfIdentified,system.l2cache.prefetcher.actionUse_0,system.l2cache.prefetcher.actionUse_1,system.l2cache.prefetcher.actionUse_2,system.l2cache.prefetcher.actionUse_3,system.l2cache.prefetcher.children0.pfIssued,system.l2cache.prefetcher.children0.pfUseful,system.l2cache.prefetcher.children0.pfRedundant,system.l2cache.prefetcher.children1.pfIssued,system.l2cache.prefetcher.children1.pfUseful,system.l2cache.prefetcher.children1.pfRedundant,system.l2cache.prefetcher.children2.pfIssued,system.l2cache.prefetcher.children2.pfUseful,system.l2cache.prefetcher.children2.pfRedundant
aes,537646,3.684198,0.271430,367540,1510,1789,1510,1789,0.542286,0.542286,152708250,152708250,85359.558413,85359.558413,1268,4666,122,1199,0.256965,0.486015,2070,4701,13,0,53,1,91,14,0,0,0,0,3053,894,1655
backprop,37780661,0.668368,1.496183,114260311,626102,3914,626102,3914,0.006213,0.006213,300713750,300713750,76830.288707,76830.288707,2320,13221,911,5345,0.404281,0.697326,5184,13262,3023,17,1661,21,2343,1153,74,30,9,34,6447,3383,4739
bfs_bulk,1408844,0.895616,1.116549,3482099,3681,2397,3681,2397,0.394373,0.394373,178900500,178900500,74635.168961,74635.168961,1319,6602,409,1772,0.268404,0.573277,2862,6648,73,1,100,2,454,143,4,6,2,6,3907,1102,2425
bfs_queue,1403377,0.892869,1.119985,3463851,3684,2396,3684,2396,0.394079,0.394079,179839000,179839000,75058.013356,75058.013356,1315,6578,410,1780,0.270599,0.575121,2832,6624,69,1,104,1,507,134,3,6,1,6,3868,1124,2388
fft_strided,7673663,0.602054,1.660981,25640199,6448,2039,6448,2039,0.240250,0.240250,179250250,179250250,87910.863168,87910.863168,1485,7243,553,2619,0.361591,0.638158,3087,7286,521,6,424,8,577,355,14,20,8,8,4232,1935,2612
fft_transpose,3502497,0.666439,1.500513,10625958,3246,2362,3246,2362,0.421184,0.421184,197533250,197533250,83629.657070,83629.657070,1746,6436,414,2050,0.318521,0.540042,2856,6482,186,3,244,4,277,126,3,17,3,15,3999,1482,2327
gemm_blocked,17672409,0.560562,1.783925,62807110,22426,3582,22426,3582,0.137727,0.137727,267253000,267253000,74609.994417,74609.994417,1961,11618,883,4421,0.380530,0.692730,4523,11677,1184,9,1007,9,2242,800,77,31,10,33,5494,2875,4106
gemm_ncubed,18047045,0.561215,1.781848,64718129,68562,3587,68562,3587,0.049717,0.049717,266016250,266016250,74161.207137,74161.207137,1984,11438,870,4379,0.382847,0.688197,4433,11488,1190,9,1046,10,2109,852,112,37,7,35,5476,2778,4018
kmp,742383,2.043185,0.489432,835268,3295,2659,3295,2659,0.446591,0.446591,194182000,194182000,73028.206093,73028.206093,1365,6089,340,1344,0.220726,0.496124,2598,6135,22,0,69,1,484,7,4,0,0,0,3609,880,2191
md_grid,5216350,0.621498,1.609017,16826415,4766,2415,4766,2415,0.336304,0.336304,194098250,194098250,80371.946170,80371.946170,1522,7520,576,2414,0.321011,0.613313,3248,7568,308,4,336,4,526,232,5,14,4,18,4403,1753,2783
md_knn,3626532,0.658504,1.518594,11435555,3839,2307,3839,2307,0.375366,0.375366,185621750,185621750,80460.229736,80460.229736,1463,6723,465,2062,0.306708,0.584965,2868,6771,225,2,221,5,519,215,5,6,1,6,3984,1429,2400
