
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004418                       # Number of seconds simulated (Second)
simTicks                                   4418102000                       # Number of ticks simulated (Tick)
finalTick                                  4418102000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    277.59                       # Real time elapsed on the host (Second)
hostTickRate                                 15915776                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     707392                       # Number of bytes of host memory used (Byte)
simInsts                                     31526249                       # Number of instructions simulated (Count)
simOps                                       60587122                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113570                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     218259                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         17672409                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.560562                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.783925                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        64054074                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      172                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62807110                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24843                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3467118                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7098914                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 118                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17491799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.590660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.313911                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2524945     14.44%     14.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1346738      7.70%     22.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2174735     12.43%     34.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2266216     12.96%     47.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2462142     14.08%     61.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2207071     12.62%     74.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2646502     15.13%     89.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1358281      7.77%     97.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    505169      2.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17491799                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1007352     82.90%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.90% # attempts to use FU when none available (Count)
