
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002937                       # Number of seconds simulated (Second)
simTicks                                   2937379000                       # Number of ticks simulated (Tick)
finalTick                                  2937379000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    290.81                       # Real time elapsed on the host (Second)
hostTickRate                                 10100852                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     706372                       # Number of bytes of host memory used (Byte)
simInsts                                     20230955                       # Number of instructions simulated (Count)
simOps                                       41052471                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    69569                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141168                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11749517                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.580769                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.721854                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42782363                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       84                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42376616                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8150                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1729970                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2047286                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11556020                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.667060                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.266619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1455286     12.59%     12.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    711582      6.16%     18.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1517855     13.13%     31.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1931675     16.72%     48.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1520817     13.16%     61.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1593964     13.79%     75.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1445019     12.50%     88.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    927479      8.03%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    452343      3.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11556020                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  605125     91.44%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.44% # attempts to use FU when none available (Count)
