
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009637                       # Number of seconds simulated (Second)
simTicks                                   9636613500                       # Number of ticks simulated (Tick)
finalTick                                  9636613500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    519.38                       # Real time elapsed on the host (Second)
hostTickRate                                 18554125                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     811228                       # Number of bytes of host memory used (Byte)
simInsts                                     56526546                       # Number of instructions simulated (Count)
simOps                                      110842796                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108835                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     213414                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         38546455                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.681918                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.466453                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       116037517                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      176                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      114121297                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  70585                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5194891                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10881528                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 110                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            38246724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.983819                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.349755                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8320324     21.75%     21.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4426711     11.57%     33.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4851803     12.69%     46.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5109065     13.36%     59.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3419614      8.94%     68.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5529468     14.46%     82.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3940121     10.30%     93.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1499681      3.92%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1149937      3.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              38246724                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1993878     74.14%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     74.14% # attempts to use FU when none available (Count)
