
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001425                       # Number of seconds simulated (Second)
simTicks                                   1424710250                       # Number of ticks simulated (Tick)
finalTick                                  1424710250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     72.44                       # Real time elapsed on the host (Second)
hostTickRate                                 19666407                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     805696                       # Number of bytes of host memory used (Byte)
simInsts                                      8393236                       # Number of instructions simulated (Count)
simOps                                       16076725                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   115858                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221919                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          5698842                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.678980                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.472797                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17194735                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       71                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16820716                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32440                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1118075                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2064686                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  35                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5387118                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.122396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.422082                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1197906     22.24%     22.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    484616      9.00%     31.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    628589     11.67%     42.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    772734     14.34%     57.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    610771     11.34%     68.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    534962      9.93%     78.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    602128     11.18%     89.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    413238      7.67%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    142174      2.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5387118                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  294566     86.33%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   9102      2.67%     89.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     16      0.00%     89.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   6075      1.78%     90.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  3999      1.17%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   15      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     91.96% # attempts to use FU when none available (Count)
