
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001003                       # Number of seconds simulated (Second)
simTicks                                   1003211000                       # Number of ticks simulated (Tick)
finalTick                                  1003211000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     53.06                       # Real time elapsed on the host (Second)
hostTickRate                                 18908274                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804672                       # Number of bytes of host memory used (Byte)
simInsts                                      5507272                       # Number of instructions simulated (Count)
simOps                                       10892052                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   103799                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     205290                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4012845                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.728645                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.372411                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11670782                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       63                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11431796                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6907                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               778787                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1340505                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3711838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.079821                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.475326                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    950201     25.60%     25.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    247197      6.66%     32.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    460277     12.40%     44.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    464556     12.52%     57.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    378354     10.19%     67.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    355443      9.58%     76.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    485663     13.08%     90.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    295408      7.96%     97.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     74739      2.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3711838                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  225904     88.89%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.89% # attempts to use FU when none available (Count)
