
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009381                       # Number of seconds simulated (Second)
simTicks                                   9380518250                       # Number of ticks simulated (Tick)
finalTick                                  9380518250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    568.17                       # Real time elapsed on the host (Second)
hostTickRate                                 16509984                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812256                       # Number of bytes of host memory used (Byte)
simInsts                                     56526546                       # Number of instructions simulated (Count)
simOps                                      110842796                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99488                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     195086                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         37522074                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.663796                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.506488                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       116050530                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      176                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      114133763                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  71767                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5207904                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10882057                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 110                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            37223197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.066200                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.335912                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7396483     19.87%     19.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4371910     11.75%     31.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4797826     12.89%     44.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5088054     13.67%     58.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3416389      9.18%     67.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5526269     14.85%     82.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3941962     10.59%     92.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1521066      4.09%     96.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1163238      3.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              37223197                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1998711     74.18%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     74.18% # attempts to use FU when none available (Count)
