
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000379                       # Number of seconds simulated (Second)
simTicks                                    379177000                       # Number of ticks simulated (Tick)
finalTick                                   379177000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.47                       # Real time elapsed on the host (Second)
hostTickRate                                 30404774                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804672                       # Number of bytes of host memory used (Byte)
simInsts                                      1573082                       # Number of instructions simulated (Count)
simOps                                        3350446                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126138                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268656                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1516709                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.964164                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.037168                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3532690                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       60                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3478476                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2367                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               182298                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            294939                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  24                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1251173                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.780172                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.560608                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    428370     34.24%     34.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     68262      5.46%     39.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    116351      9.30%     48.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    155104     12.40%     61.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    113636      9.08%     70.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    117595      9.40%     79.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    122676      9.80%     89.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     99807      7.98%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     29372      2.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1251173                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   75642     91.96%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.96% # attempts to use FU when none available (Count)
