
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000918                       # Number of seconds simulated (Second)
simTicks                                    917786250                       # Number of ticks simulated (Tick)
finalTick                                   917786250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     42.01                       # Real time elapsed on the host (Second)
hostTickRate                                 21847033                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812252                       # Number of bytes of host memory used (Byte)
simInsts                                      5255403                       # Number of instructions simulated (Count)
simOps                                       10123782                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   125099                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     240986                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3671146                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.698547                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.431543                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10875226                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       81                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10621343                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7465                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               751519                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1426366                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  33                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3332123                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.187560                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.426276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    744196     22.33%     22.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    250677      7.52%     29.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    407114     12.22%     42.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    431815     12.96%     55.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    402194     12.07%     67.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    330513      9.92%     77.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    443984     13.32%     90.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    237292      7.12%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     84338      2.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3332123                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  169115     84.90%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.90% # attempts to use FU when none available (Count)
