
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000763                       # Number of seconds simulated (Second)
simTicks                                    763384250                       # Number of ticks simulated (Tick)
finalTick                                   763384250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     35.35                       # Real time elapsed on the host (Second)
hostTickRate                                 21597062                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804672                       # Number of bytes of host memory used (Byte)
simInsts                                      4183121                       # Number of instructions simulated (Count)
simOps                                        8093573                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   118345                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     228976                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3053538                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.729966                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.369926                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8317437                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       72                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8260478                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    997                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               223930                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            298604                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  36                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2785161                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.965889                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.281421                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    514487     18.47%     18.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    354041     12.71%     31.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    454553     16.32%     47.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    393285     14.12%     61.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    292481     10.50%     72.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    319889     11.49%     83.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    222772      8.00%     91.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    157749      5.66%     97.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     75904      2.73%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2785161                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   92808     88.33%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     88.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                    941      0.90%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   3856      3.67%     92.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      8      0.01%     92.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    704      0.67%     93.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  4884      4.65%     98.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     98.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     98.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     98.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   15      0.01%     98.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     98.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     98.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     98.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     98.24% # attempts to use FU when none available (Count)
