
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001070                       # Number of seconds simulated (Second)
simTicks                                   1069700250                       # Number of ticks simulated (Tick)
finalTick                                  1069700250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     48.43                       # Real time elapsed on the host (Second)
hostTickRate                                 22086239                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     805696                       # Number of bytes of host memory used (Byte)
simInsts                                      6810923                       # Number of instructions simulated (Count)
simOps                                       13394130                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   140625                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     276549                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4278802                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.628226                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.591783                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14238042                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       69                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13996331                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10673                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               843975                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1355165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  33                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3977876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.518544                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.462520                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    774667     19.47%     19.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    247679      6.23%     25.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    439704     11.05%     36.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    480268     12.07%     48.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    482327     12.13%     60.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    408062     10.26%     71.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    684005     17.20%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    334520      8.41%     96.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    126644      3.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3977876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  375048     91.84%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.84% # attempts to use FU when none available (Count)
