
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002974                       # Number of seconds simulated (Second)
simTicks                                   2973899500                       # Number of ticks simulated (Tick)
finalTick                                  2973899500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    274.84                       # Real time elapsed on the host (Second)
hostTickRate                                 10820593                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804668                       # Number of bytes of host memory used (Byte)
simInsts                                     20230933                       # Number of instructions simulated (Count)
simOps                                       41052426                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    73611                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     149370                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11895599                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.587991                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.700707                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42778776                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       84                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42373788                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8073                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1726428                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2043298                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11620184                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.646568                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.276473                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1518581     13.07%     13.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    712532      6.13%     19.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1518701     13.07%     32.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1931495     16.62%     48.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1521130     13.09%     61.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1593592     13.71%     75.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1444535     12.43%     88.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    927265      7.98%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    452353      3.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11620184                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  605162     91.45%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     91.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     91.45% # attempts to use FU when none available (Count)
