
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000363                       # Number of seconds simulated (Second)
simTicks                                    362581500                       # Number of ticks simulated (Tick)
finalTick                                   362581500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.54                       # Real time elapsed on the host (Second)
hostTickRate                                 26782648                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804672                       # Number of bytes of host memory used (Byte)
simInsts                                      1571799                       # Number of instructions simulated (Count)
simOps                                        3345928                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   116101                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     247147                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1450327                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.922718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.083755                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3504713                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       63                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3459719                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1070                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               158842                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            234637                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1187118                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.914385                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.538014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    366019     30.83%     30.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     66329      5.59%     36.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    124101     10.45%     46.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    147897     12.46%     59.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    113094      9.53%     68.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    124469     10.48%     79.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    122406     10.31%     89.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     90084      7.59%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     32719      2.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1187118                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   69376     91.89%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     91.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   4333      5.74%     97.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     97.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    175      0.23%     97.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   130      0.17%     98.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     98.03% # attempts to use FU when none available (Count)
