
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000910                       # Number of seconds simulated (Second)
simTicks                                    909715000                       # Number of ticks simulated (Tick)
finalTick                                   909715000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.59                       # Real time elapsed on the host (Second)
hostTickRate                                 19527787                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     812252                       # Number of bytes of host memory used (Byte)
simInsts                                      5255394                       # Number of instructions simulated (Count)
simOps                                       10123767                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112811                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     217314                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3638861                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.692405                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.444241                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10875334                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       81                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10621384                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7484                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               751642                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1426337                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  33                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3300194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.218412                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.418853                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    713556     21.62%     21.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    250358      7.59%     29.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    406306     12.31%     41.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    431176     13.07%     54.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    402146     12.19%     66.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    330372     10.01%     76.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    444084     13.46%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    237630      7.20%     97.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     84566      2.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3300194                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  169360     84.89%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.89% # attempts to use FU when none available (Count)
