
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001321                       # Number of seconds simulated (Second)
simTicks                                   1320817500                       # Number of ticks simulated (Tick)
finalTick                                  1320817500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     70.05                       # Real time elapsed on the host (Second)
hostTickRate                                 18855037                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     805696                       # Number of bytes of host memory used (Byte)
simInsts                                      8393169                       # Number of instructions simulated (Count)
simOps                                       16076590                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119814                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     229497                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          5283271                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.629473                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.588631                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17194707                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       71                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       16820728                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32787                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1118182                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2063460                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  35                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4977272                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.379507                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.362161                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    822941     16.53%     16.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    467088      9.38%     25.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    613634     12.33%     38.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    762053     15.31%     53.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    606471     12.18%     65.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    532417     10.70%     76.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    604836     12.15%     88.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    419428      8.43%     97.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    148404      2.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4977272                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  298635     86.33%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.33% # attempts to use FU when none available (Count)
