
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000635                       # Number of seconds simulated (Second)
simTicks                                    634880000                       # Number of ticks simulated (Tick)
finalTick                                   634880000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     34.16                       # Real time elapsed on the host (Second)
hostTickRate                                 18584024                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804672                       # Number of bytes of host memory used (Byte)
simInsts                                      3730506                       # Number of instructions simulated (Count)
simOps                                        7276884                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   109198                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     213005                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2539521                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.680744                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.468980                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7957775                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       66                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7804370                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2811                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               680951                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            875321                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2278591                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.425086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.442639                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    489852     21.50%     21.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    116982      5.13%     26.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    214813      9.43%     36.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    300916     13.21%     49.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    292036     12.82%     62.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    337864     14.83%     76.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    261039     11.46%     88.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    189396      8.31%     96.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     75693      3.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2278591                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  111395     91.46%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.46% # attempts to use FU when none available (Count)
