
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002963                       # Number of seconds simulated (Second)
simTicks                                   2963332000                       # Number of ticks simulated (Tick)
finalTick                                  2963332000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    263.19                       # Real time elapsed on the host (Second)
hostTickRate                                 11259076                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     804668                       # Number of bytes of host memory used (Byte)
simInsts                                     20230907                       # Number of instructions simulated (Count)
simOps                                       41052374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76867                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     155977                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11853329                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.585902                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.706770                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42777559                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       78                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       42372813                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8082                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1725257                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2042633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11580682                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.658922                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.270370                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1478991     12.77%     12.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    712706      6.15%     18.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1519049     13.12%     32.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1931482     16.68%     48.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1520897     13.13%     61.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1593383     13.76%     75.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1444516     12.47%     88.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    927300      8.01%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    452358      3.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11580682                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  605467     91.44%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.44% # attempts to use FU when none available (Count)
