
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000894                       # Number of seconds simulated (Second)
simTicks                                    894260000                       # Number of ticks simulated (Tick)
finalTick                                   894260000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     40.50                       # Real time elapsed on the host (Second)
hostTickRate                                 22080951                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     805696                       # Number of bytes of host memory used (Byte)
simInsts                                      5507205                       # Number of instructions simulated (Count)
simOps                                       10891917                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   135982                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268939                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3577041                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.649520                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.539598                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11673106                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       92                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11434141                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7092                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               781275                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1340094                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  56                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3395074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.367862                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.410000                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    653395     19.25%     19.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    236310      6.96%     26.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    450336     13.26%     39.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    459360     13.53%     53.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    376770     11.10%     64.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    355143     10.46%     74.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    487523     14.36%     88.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    298750      8.80%     97.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     77487      2.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3395074                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  226614     88.89%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.89% # attempts to use FU when none available (Count)
